번호,상품코드,상품명,소비자가격,이미지,분류,모델번호,브랜드,규격
1,4784,Flatso 5.0 옐로우,,4784_3.jpg,퍼터그립,K009-04,Super Stroke,직경 : 1.67인치 / 길이 : 10.50인치 / 무게 : 90g / 내경 : 0.58인치
2,4781,Flatso 5.0 블루,,4781_3.jpg,퍼터그립,K009-03,Super Stroke,직경 : 1.67인치 / 길이 : 10.50인치 / 무게 : 90g / 내경 : 0.58인치
3,4782,Flatso 5.0 레드,,4782_3.jpg,퍼터그립,K009-02,Super Stroke,직경 : 1.67인치 / 길이 : 10.50인치 / 무게 : 90g / 내경 : 0.58인치
4,4818,TX1 Standard 블루 (립),,4818_3.jpg,클럽그립,B301-05,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
5,4773,Flatso 1.0 블랙,,4773_3.jpg,퍼터그립,K006-32,Super Stroke,"직경 : 1.10인치 / 길이 : 10,50인치 / 무게 : 85g / 내경 : 0.58인치"
6,4774,Flatso 1.0 레드,,4774_3.jpg,퍼터그립,K006-31,Super Stroke,"직경 : 1.10인치 / 길이 : 10,50인치 / 무게 : 85g / 내경 : 0.58인치"
7,4775,Flatso 2.0 블랙,,4775_3.jpg,퍼터그립,K007-10,Super Stroke,직경 : 1.25인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
8,4776,Flatso 2.0 블루,,4776_3.jpg,퍼터그립,K007-12,Super Stroke,직경 : 1.25인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
9,4777,Flatso 2.0 레드,,4777_3.jpg,퍼터그립,K007-11,Super Stroke,직경 : 1.25인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
10,4778,Flatso 3.0 블랙,,4778_3.jpg,퍼터그립,K008-08,Super Stroke,직경 : 1.40인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
11,4813,TX1 Standard 그레이 (라운드),,4813_3.jpg,클럽그립,B301-10,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
12,4814,TX1 Standard 라임 (라운드),,4814_3.jpg,클럽그립,B301-08,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
13,4815,TX1 Standard 레드 (라운드),,4815_3.jpg,클럽그립,B301-04,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
14,4767,Plus 2.0 XL 블랙,,4767_3.jpg,퍼터그립,K010-04,Super Stroke,"직경 : 1.25인치 / 길이 : 13,75인치 / 무게 : 85g / 내경 : 0.58인치"
15,4768,Plus 2.0 XL 옐로우,,4768_3.jpg,퍼터그립,K010-03,Super Stroke,"직경 : 1.25인치 / 길이 : 13,75인치 / 무게 : 85g / 내경 : 0.58인치"
16,4769,Plus 3.0 XL 블랙,,4769_3.jpg,퍼터그립,K010-05,Super Stroke,"직경 : 1.3인치 / 길이 : 13,75인치 / 무게 : 95g / 내경 : 0.58인치"
17,4771,Plus Flatso 2.0 XL 블랙,,4771_3.jpg,퍼터그립,K010-07,Super Stroke,"직경 : 1.25인치 / 길이 : 13,75인치 / 무게 : 85g / 내경 : 0.58인치"
18,4772,Plus Flatso 2.0 XL 옐로우,,4772_3.jpg,퍼터그립,K010-08,Super Stroke,"직경 : 1.25인치 / 길이 : 13,75인치 / 무게 : 85g / 내경 : 0.58인치"
19,4816,TX1 Standard 블랙 (라운드),,4816_3.jpg,클럽그립,B301-02,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
20,4817,TX1 Standard 레드 (립),,4817_3.jpg,클럽그립,B301-03,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
21,4820,TX1 Standard 그레이 (립),,4820_3.jpg,클럽그립,B301-09,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
22,5013,Presidents Cup Grips 3.0,,5013_3.jpg,퍼터그립,2015 LIMITED,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
23,5014,Presidents Cup Grips 2.0,,5014_3.jpg,퍼터그립,2015 LIMITED,Super Stroke,직경 : 1.20인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
24,4819,TX1 Standard 라임 (립),,4819_3.jpg,클럽그립,B301-07,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
25,4779,Flatso 5.0 블랙,,4779_3.jpg,퍼터그립,K009-01,Super Stroke,직경 : 1.67인치 / 길이 : 10.50인치 / 무게 : 90g / 내경 : 0.58인치
26,4770,Plus 3.0 XL 옐로우,,4770_3.jpg,퍼터그립,K010-06,Super Stroke,"직경 : 1.3인치 / 길이 : 13,75인치 / 무게 : 95g / 내경 : 0.58인치"
27,4785,Slim 3.0 블랙,,4785_3.jpg,퍼터그립,K008-01,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
28,4786,Slim 3.0 블랙/레드,,4786_3.jpg,퍼터그립,K006-25,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
29,4787,Slim 3.0 블랙/화이트,,4787_3.jpg,퍼터그립,K006-23,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
30,4788,Slim 3.0 블루,,4788_3.jpg,퍼터그립,K008-03,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
31,4789,Slim 3.0 오렌지,,4789_3.jpg,퍼터그립,K008-05,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
32,4790,Slim 3.0 레드,,4790_3.jpg,퍼터그립,K008-02,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
33,4791,Slim 3.0 실버/블랙,,4791_3.jpg,퍼터그립,K006-24,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
34,4792,Slim 3.0 옐로우,,4792_3.jpg,퍼터그립,K008-06,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
35,4793,Mid Slim 2.0 블랙,,4793_3.jpg,퍼터그립,K007-03,Super Stroke,직경 : 1.20인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
36,4794,Mid Slim 2.0 블랙/레드,,4794_3.jpg,퍼터그립,K006-20,Super Stroke,직경 : 1.20인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
37,4795,Mid Slim 2.0 블랙/화이트,,4795_3.jpg,퍼터그립,K006-22,Super Stroke,직경 : 1.20인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
